,Wine Id,Title,Year,Winery,Variety,Colour,Description,Country,Province,Price,Points
73298,73298,Georges Vigouroux 2015 Pigmentum Ugni Blanc-Colombard (Côtes de Gascogne),Georges Vigouroux 2015 Pigmentum Ugni Blanc-Colombard (Côtes de Gascogne),Georges Vigouroux,Ugni Blanc-Colombard,White,"This is a blend of 60% Ugni Blanc and 40% Colombard that gives a deliciously light and refreshing wine. Bright and breezy, it is perfumed, herbal and full of direct citrus flavors. Drink now.",France,Southwest France,10,86
73499,73499,Argiolas 2011 Perdera  (Monica di Sardegna),Argiolas 2011 Perdera  (Monica di Sardegna),Argiolas,Monica,Red,"Made from native grape Monica, this offers a fruit and spice fragrance. The palate delivers ripe cherry and black pepper with subtle notes of well-integrated  oak. With its smooth texture, fine tannins and fresh acidity, it's a perfect red for grilled fish.",Italy,Sicily & Sardinia,16,88
73745,73745,Dinastía Vivanco 2007 Colección Vivanco Parcelas de Mazuelo  (Rioja),Dinastía Vivanco 2007 Colección Vivanco Parcelas de Mazuelo  (Rioja),Dinastía Vivanco,Mazuelo,Red,"Mazuelo is almost always a blending grape for a reason: it's limited in depth and weighty. So it's no surprise that this opens with leather, prune and bullish jam and liqueur aromas. The palate, however, is kind of sharp and lacking depth, while the flavor profile is juicy, herbal and folds in cassis and berry. Snappy and acidic for an expensive varietal wine.",Spain,Northern Spain,95,88
73758,73758,Rivera de Castilla 2007 Viura-Verdejo (Vino de la Tierra de Castilla y León),Rivera de Castilla 2007 Viura-Verdejo (Vino de la Tierra de Castilla y León),Rivera de Castilla,Viura-Verdejo,White,"Lucid in the glass, and that's half the battle when you're talking about basic, everyday whites such as this Viura-Verdejo blend. The nose is light as air, with lemony accents. Meanwhile, the fresh but lean palate offers lime, pineapple and cleansing acidity. And that's more or less what you get.",Spain,Northern Spain,11,86
73843,73843,Haak 2011 Madeira Jacquez (Texas),Haak 2011 Madeira Jacquez (Texas),Haak,Jacquez,Red,"This medium-tawny wine made from Jacquez offers aromas of dried fig and salty maple-drizzled bacon. The silky, full palate follows suit, with toasted nuts adding an additional savory character. Enjoy this nicely balanced wine alongside pecan pie.",US,Texas,40,87
73853,73853,Mezzacorona 2005 Castel Firmian Marzemino (Trentino),Mezzacorona 2005 Castel Firmian Marzemino (Trentino),Mezzacorona,Marzemino,Red,"Marzemino imparts both freshness and crisp fruit flavors. This expression of the grape offers forest berry, blueberry and almond skin. The wine would pair with light pasta or risotto dishes.",Italy,Northeastern Italy,13,86
73871,73871,Robert Gilliard 2012 Les Murettes Chasselas (Valais),Robert Gilliard 2012 Les Murettes Chasselas (Valais),Robert Gilliard,Chasselas,White,"Vanilla and lemon curd aromas bring nuance and depth to the the complex bouquet of this wine. Full bodied with a silky texture, tones of green apple and mango show bright on the palate, leading to a splash of minerality on the finish.",Switzerland,Valais,28,90
74075,74075,Volteo 2009 Tempranillo-Shiraz (Vino de la Tierra de Castilla),Volteo 2009 Tempranillo-Shiraz (Vino de la Tierra de Castilla),Volteo,Tempranillo-Shiraz,Red,"This is gritty, burnt and stalky smelling. On the palate it's sour and underdeveloped as a whole.",Spain,Central Spain,10,81
74103,74103,Domaine Schoffit 2010 Vieilles Vignes Chasselas (Alsace),Domaine Schoffit 2010 Vieilles Vignes Chasselas (Alsace),Domaine Schoffit,Chasselas,White,"There is little of the Chasselas grape left in Alsace today, which is a shame when you taste the wine from these 60-year-old vines. It has a crisp apple flavor, with pepper and spice adding complexity to the character. The finish leaves a warm glow of ripe, lightly sweet fruit.",France,Alsace,36,89
74111,74111,Casale della Ioria 2009 Tenuta della Ioria Superiore  (Cesanese del Piglio),Casale della Ioria 2009 Tenuta della Ioria Superiore  (Cesanese del Piglio),Casale della Ioria,Cesanese d'Affile,Red,"The region of Lazio is making promising inroads into quality wine production. The Cesanese d'Affile grape is a protagonist of this new promise, offering unique aromas of raspberry, dried herb, oregano and Christmas spice.",Italy,Central Italy,21,89
74158,74158,Salomon-Undhof 2009 Rosengold Beeranauslese Gelber Traminer (Niederösterreich),Salomon-Undhof 2009 Rosengold Beeranauslese Gelber Traminer (Niederösterreich),Salomon-Undhof,Gelber Traminer,White,"The musky touch of botryrtis clings to the mellow, sweet ripeness of juicy Mirabelle plums and candied citrus on the nose. The palate follows with a supremely balanced sweetness that's nonetheless bright and luminous with lemony freshness. A floral perfume fills the palate with a fragrance that lasts and lasts.",Austria,Niederösterreich,35,95
74396,74396,Cima 2004 Vermentino Nero (Toscana),Cima 2004 Vermentino Nero (Toscana),Cima,Vermentino Nero,Red,"Made from Vermentino Nero, this unique red recalls a structured white wine thanks to its fragrant aromas of blue flowers and fresh fruit.",Italy,Tuscany,45,88
74557,74557,Girardet 2011 Estate Grown Cayuga (Umpqua Valley),Girardet 2011 Estate Grown Cayuga (Umpqua Valley),Girardet,Cayuga,White,"This unusual offering is a cross of two hybrids: Schuyler and Seyval Blanc. It immediately shows noticeable sweetness, opening with sugary flavors of honey and orange marmalade. Once in the mouth the acids kick in, and the wine turns tart.",US,Oregon,19,84
74612,74612,Abacela 2013 Barrel Select Red (Umpqua Valley),Abacela 2013 Barrel Select Red (Umpqua Valley),Abacela,Tinta Amarela,Red,"Abacela makes a fortified wine from Portuguese grapes, but this is a dry, varietal expression of one of the most obscure. Bone-dry, it's got tongue-scraping tannins that taste of black tea. It offers dried raspberries, vanilla and cocoa elements, and the overall complexity is impressive. This seems built for a thick steak.",US,Oregon,30,90
74723,74723,Purcari 2014 Rara Neagra (Moldova),Purcari 2014 Rara Neagra (Moldova),Purcari,Rara Neagra,Red,"This garnet-colored wine has a pure aroma of ripe cherry. Made from a grape that is native to Moldova and Romania, its fruity palate is dominated by flavors of red and black cherry with notes of pomegranate and cranberry. Its lively acidity is pleasantly offset by graceful tannins.",Moldova,Moldova,19,89
74791,74791,L'Enclos des Braves 2012 Braucol (Gaillac),L'Enclos des Braves 2012 Braucol (Gaillac),L'Enclos des Braves,Braucol,Red,"This very complete wine displays a fine balance between its tannins, black fruits and acidity. The structure is firm, still dry while giving space for the developing fruitiness. It is almost ready to drink, although it will be better from 2016.",France,Southwest France,24,93
75180,75180,Maimai 2011 Merlot-Malbec (Hawke's Bay),Maimai 2011 Merlot-Malbec (Hawke's Bay),Maimai,Merlot-Malbec,Red,"This is only 7% Malbec, so think of it as a Merlot when considering what to drink it with. Modest cherry fruit is framed by hints of toasted almond and dried herbs, and the wine finishes tart and crisp. It would probably be a great match with herb- or olive-seasoned lamb.",New Zealand,Hawke's Bay,20,86
75247,75247,Fattoria Mantellassi 2007 Querciolaia  (Maremma),Fattoria Mantellassi 2007 Querciolaia  (Maremma),Fattoria Mantellassi,Alicante,Red,"Alicante is making huge inroads in Tuscany. In the warm climate of central Italy this shows bright berry aromas, with touches of spice, leather, cola and menthol. The palate is bright, fresh and cleansing.",Italy,Tuscany,27,89
75289,75289,Müller-Catoir 2007 Schlössel Beerenauslese Rieslaner (Pfalz),Müller-Catoir 2007 Schlössel Beerenauslese Rieslaner (Pfalz),Müller-Catoir,Rieslaner,White,"Dried apricots and herbal-grassy-peapod notes vie on the nose, but the flavors are intensely sweet and apricotty, with the botrytis character covering whatever other notes might be lurking underneath.",Germany,Pfalz,36,92
75718,75718,Recanati 2015 Marawi (Galilee),Recanati 2015 Marawi (Galilee),Recanati,Marawi,White,"Produced in Israel from an ancient native grape that grows in Palestine, this wine offers a lean lemon aroma with a faint whiff of petrol. Citrus and light floral flavors are dominated by lime-sorbet notes, and this interesting yet easy-drinking quaff leaves one with a lingering lemon tingle on the palate.",Israel,Galilee,35,88
75724,75724,Lionel Osmin & Cie 2015  Marcillac,Lionel Osmin & Cie 2015  Marcillac,Lionel Osmin & Cie,Mansois,Red,"With just 49 acres for the whole appellation, Marcillac is a little-known area in the southern foothills of the central mountains of France, planted entirely with Mansois. This wine is smooth with a aromas of spice and tobacco, stalky tannins and black currant fruit. It can easily be drunk now, although this young and fruity wine will be better from 2018.",France,Southwest France,16,88
75739,75739,Leacock's 1995 Tinta Negra Tinta Negra Mole (Madeira),Leacock's 1995 Tinta Negra Tinta Negra Mole (Madeira),Leacock's,Tinta Negra Mole,Red,"Tinta Negra Mole, widely planted in Madeira, is a chameleon grape that can take on the character of any grape or style the producer fancies. Here it has transmuted into a rich Bual, wood aged and with old-gold flavors and color. The acidity at the end, which is what will preserve the wine for many years, is intense and impressive. Drink now.",Portugal,Madeira,112,92
75807,75807,Abbazia di Novacella 2015 Praepositus Moscato Rosa (Alto Adige),Abbazia di Novacella 2015 Praepositus Moscato Rosa (Alto Adige),Abbazia di Novacella,Moscato Rosa,Rose,"Made entirely with Moscato Rosa, this boasts heady scents of rose petal, wild strawberry and a hint of lavender. The silky palate delivers raspberry jam, candied orange zest and a hint of cake spice. Refreshing acidity nicely offsets the sweetness.",Italy,Northeastern Italy,37,90
76005,76005,Clos Venturi 2015 Cuvée 1769 Sciaccerellu (Corse),Clos Venturi 2015 Cuvée 1769 Sciaccerellu (Corse),Clos Venturi,Sciaccerellu,Red,"This is an intense, rich wine with solid tannins and firm black fruit. Its plum and blackberry flavors are sustained by a structure that promises some medium-term aging. Drink from late 2018.",France,France Other,36,88
76021,76021,Manastira 2015 Just Young Mavrud (Thracian Valley),Manastira 2015 Just Young Mavrud (Thracian Valley),Manastira,Mavrud,Red,"This wine has aromas of cherry cola and freshly picked cherries. In the mouth there are flavors of tart cherry and black raspberry, with balanced tannins and a long finish.",Bulgaria,Thracian Valley,14,88
76316,76316,Hudson-Chatham 2012 Casscles Vineyards Chelois (Hudson River Region),Hudson-Chatham 2012 Casscles Vineyards Chelois (Hudson River Region),Hudson-Chatham,Chelois,Red,Candied black cherry and blueberry notes are accented by ginger on this slightly confected wine. The monotone red cherry palate leads to a hint of bitter tannins on the finish.,US,New York,20,83
76317,76317,Tug Hill 2012 Estate Bottled Marquette (New York),Tug Hill 2012 Estate Bottled Marquette (New York),Tug Hill,Marquette,Red,"Mocha and milk chocolate seem to waft from this ruddy, ripe wine made from Marquette grapes. Ripe cherry and strawberry flavors are soft and plush on the palate, brightened by a welcome streak of acidity.",US,New York,19,83
76361,76361,Piližota 2011 Babić (North Dalmatia),Piližota 2011 Babić (North Dalmatia),Piližota,Babić,Red,"Pleasant whiffs of eucalyptus help to lift aromas of bright cherry, red plum and red raspberry. Zesty acidity on the tongue leads to a fruit-packed finish.",Croatia,North Dalmatia,16,88
76366,76366,Suha Punta 2009 Tirada Babić (North Dalmatia),Suha Punta 2009 Tirada Babić (North Dalmatia),Suha Punta,Babić,Red,"Forest floor, mushroom and dried red cherry lead the bouquet, with a lift of eucalyptus in the background. Fresh cherry and raspberry flavors unfold on the palate, with bright acidity in the finale.",Croatia,North Dalmatia,39,88
76393,76393,Weingut Niklas 2013 Schiava (Alto Adige),Weingut Niklas 2013 Schiava (Alto Adige),Weingut Niklas,Schiava,Red,"Aromas suggest red berry, pomegranate and violet. The vibrant palate delivers crushed sour cherry, tangerine zest and a hint of baking spice alongside bright acidity and silky tannins. Enjoy soon.",Italy,Northeastern Italy,18,89
76395,76395,Foradori 2013 Fontanasanta Manzoni Bianco Incrocio Manzoni (Vigneti delle Dolomiti),Foradori 2013 Fontanasanta Manzoni Bianco Incrocio Manzoni (Vigneti delle Dolomiti),Foradori,Incrocio Manzoni,White,"This unusual, brass colored-white opens with aromas that recall candied orange, flint and pressed yellow flowers. Fermented on the skins in cement and aged in acacia casks, this wine shows tertiary flavors on the palate, including smoky mineral, dried herb, dried apricot and ginger drop as well as a hint of nectarine zest. Bright acidity keeps it fresh. Drink through 2018.",Italy,Northeastern Italy,30,89
76439,76439,Chalk Hill 2014 Sauvignon Gris (Chalk Hill),Chalk Hill 2014 Sauvignon Gris (Chalk Hill),Chalk Hill,Sauvignon Gris,White,"Tropical pineapple and more relaxed apricot find comfort in a creamy texture in this rare version of the variety, blended with 3% Sauvignon Blanc. Full-bodied and fleshy, it stays fresh in the glass, thanks to highlights of lemon zest and grapefruit.",US,California,40,90
76509,76509,Bacalhôa Wines of Portugal 2002 Colheita  (Moscatel de Setúbal),Bacalhôa Wines of Portugal 2002 Colheita  (Moscatel de Setúbal),Bacalhôa Wines of Portugal,Moscatel Roxo,Red,"A perfumed Moscatel, it features spice, honeyed fruitiness and a strong spirit character. When it was bottled, it had just begun to exhibit the old-wood aging flavors and resulting acidity.it offers a delicious orange-peel aftertaste.",Portugal,Moscatel de Setúbal,25,91
76619,76619,Hudson-Chatham 2009 Old Vines Masson Place Vineyard Pulteney Farm Baco Noir (Hudson River Region),Hudson-Chatham 2009 Old Vines Masson Place Vineyard Pulteney Farm Baco Noir (Hudson River Region),Hudson-Chatham,Baco Noir,Red,"Unfiltered and unfined, this wine made from 60-year-old Baco Noir feels significantly fuller in body than the alcohol content belies. Ripe and concentrated on the palate with hints of garrigue and Graham cracker crumbs, it finishes with a whisper of green on a softly bitter finish.",US,New York,20,85
76722,76722,Jefferson Vineyards 2011 Johannisberg Riesling (Monticello),Jefferson Vineyards 2011 Johannisberg Riesling (Monticello),Jefferson Vineyards,Johannisberg Riesling,White,"A note of graham cracker hits the nose first, followed by touches of apple, lemon and granite. The palate is mineral driven, yet despite the bright acidity, the flavors taste a little dull.",US,Virginia,36,85
76774,76774,Château Lamartine 2014 Cuvée Particulière Malbec-Tannat (Cahors),Château Lamartine 2014 Cuvée Particulière Malbec-Tannat (Cahors),Château Lamartine,Malbec-Tannat,Red,"Aged in wood for 14 months, this dense wine is still in its early stages. Firm tannins dominate this blend, which has 10% Tannat along with Malbec. Ripe black fruits are developing to give a wine that will have great concentration and intense juicy black plum fruits. Drink from 2019.",France,Southwest France,24,92
76792,76792,Ktima Pavlidis 2015 Thema White (Drama),Ktima Pavlidis 2015 Thema White (Drama),Ktima Pavlidis,Sauvignon Blanc-Assyrtiko,White,"This blend starts with panache, offering aromas of vanilla cream, lemon, banana and crushed herbs. On the palate, it balances brisk acidity with alluring citrus and melon fruit flavors. The wine has a spicy spin that gives it extra spunk.",Greece,Drama,20,92
76803,76803,Bodega Volcanes de Chile 2012 Parinacota Limited Edition Syrah-Carignan (Maule Valley),Bodega Volcanes de Chile 2012 Parinacota Limited Edition Syrah-Carignan (Maule Valley),Bodega Volcanes de Chile,Syrah-Carignan,Red,"Berry fruit aromas come with an early hint of floral bath soap and later cherry candy. The palate is fairly wiry and pointed, with power-packed acidity. Direct, bold flavors of plum and red fruits are snappy, lively and run long due to sizzling acidity. Drink this Syrah-Carignan blend through 2023.",Chile,Maule Valley,35,92
76872,76872,Benoît Daridan 2013 Pinot Noir-Gamay (Cheverny),Benoît Daridan 2013 Pinot Noir-Gamay (Cheverny),Benoît Daridan,Pinot Noir-Gamay,Red,"The magnificent chateau of Cheverny is a fitting focal point for the wines of this small appellation. This wine is light in color, young and fruity. Soft tannins and red berry fruits are rounded and easy to drink. The wine is ready to enjoy although it could age through 2017.",France,Loire Valley,18,87
76884,76884,Bodegas Valdemar 2014 Inspiración Valdemar Alto Cantabria Tempranillo Blanco (Rioja),Bodegas Valdemar 2014 Inspiración Valdemar Alto Cantabria Tempranillo Blanco (Rioja),Bodegas Valdemar,Tempranillo Blanco,White,"Green grassy aromas are modest and watery. This feels oily, but with decent acidity. Oxidized flavors of stone fruits finish wheaty, bland and eggy.",Spain,Northern Spain,24,84
76965,76965,Broadbent NV Malmsey 10 Years Old Madeira (Madeira),Broadbent NV Malmsey 10 Years Old Madeira (Madeira),Broadbent,Madeira Blend,White,"The Madeira regulations say that 10-years old is the age of the youngest part of the blend. So this richly sweet Malmsey contains many older wines. These are shown in the old gold color, the proper citrus acidity and the dryness that goes with wood aging. At the end, though, the liquid honey flavors are dominant.",Portugal,Madeira,49,90
77090,77090,Kourtaki NV Retsina of Attica Savatiano (Attica),Kourtaki NV Retsina of Attica Savatiano (Attica),Kourtaki,Savatiano,White,"Crushed thyme, pine resin and lemon start this traditional retsina from Attica. On the palate, an interplay of herbs and citrus offer good balance, a soft finish and an easy entrée into a sometimes difficult style of Greek wine, The price is right too; try this with fried fish.",Greece,Attica,9,86
77108,77108,Robert et Bernard Plageoles 2008 Muscadel (Gaillac Doux),Robert et Bernard Plageoles 2008 Muscadel (Gaillac Doux),Robert et Bernard Plageoles,Muscadel,Red,"With layers of honeyed botrytis, this is an open, generous sweet wine. Melon and creamed apple give a fresher side to what is a seductively opulent wine.",France,Southwest France,30,88
77151,77151,Torre Oria 2014 Shiraz-Tempranillo (Valencia),Torre Oria 2014 Shiraz-Tempranillo (Valencia),Torre Oria,Shiraz-Tempranillo,Red,"An unclean nose smells cheesy. This is flabby and flat, with no acidity. Thus the flavors are sugary and soft, with no spunk. Overall, this struggles to keep up with what's on the market.",Spain,Levante,7,80
77239,77239,Agustí Torelló Mata 2010 Rosat Brut Reserva Trepat (Cava),Agustí Torelló Mata 2010 Rosat Brut Reserva Trepat (Cava),Agustí Torelló Mata,Trepat,Red,"Bready orange-like aromas are a touch spent and oxidized. This is soft but still in balance, with yeasty, dry flavors of cantaloupe. On the finish, this Trepat rosat turns heavier, with almost no pop. Drink immediately.",Spain,Catalonia,23,86
77265,77265,Swanson NV Angelica Mission (Amador County),Swanson NV Angelica Mission (Amador County),Swanson,Mission,Red,"Swanson employs former winemaker Marco Cappelli to make this nonvintage dessert wine, working with Mission grape vines in the Shenandoah Valley that were planted in 1856 and reside at a 1,300-foot elevation. Cappelli fortified the Mission wine with Brandy, let it all sit in barrel for six years, and used the solera system of blending in four different vintages over time. The result is delicious, a strong essence of cherry, dried fruit and molasses perfectly sippable and balanced.",US,California,140,90
77271,77271,Smasne Cellars 2010 Upland Vineyard Morio Muskat (Snipes Mountain),Smasne Cellars 2010 Upland Vineyard Morio Muskat (Snipes Mountain),Smasne Cellars,Morio Muskat,White,"Sweetly floral, this concentrated and penetrating wine, from some special old-vine plantings on Snipes Mountain, smells and tastes like fancy perfume in a wine bottle. Though not sweet, it could certainly be served as a dessert wine, given its exotic character.",US,Washington,16,90
77323,77323,Tenute Rubino 2007 TorreTesta Susumaniello (Salento),Tenute Rubino 2007 TorreTesta Susumaniello (Salento),Tenute Rubino,Susumaniello,Red,"TorreTesta is an amazing wine that points to the full potential of winemaking in Puglia, the heel of the boot of Italy. Made from a rare indigenous grape called Susumaniello, this is a ripe, soft, enduring and ever-so satisfying red wine that could pair with any hearty meat dish. Aromas of blackberry, chocolate and exotic spice are enhanced by a beautiful velvety texture.",Italy,Southern Italy,36,93
77507,77507,Jean-Luc Baldès 2012 Le Sec du Clos Vin de Lune Viognier-Chardonnay,Jean-Luc Baldès 2012 Le Sec du Clos Vin de Lune Viognier-Chardonnay,Jean-Luc Baldès,Viognier-Chardonnay,White,"Picking the grapes at night gives extra freshness to what is a rich wine. The acidity is very present, with ripe yellow fruits and pineapple. Fruity, textured and needing a year to age.",France,Southwest France,36,87
77559,77559,Minassian-Young 2011 White Roussanne-Grenache Blanc (Paso Robles),Minassian-Young 2011 White Roussanne-Grenache Blanc (Paso Robles),Minassian-Young,Roussanne-Grenache Blanc,White,"An interesting wine that's far more subtle than the price suggests. Blended from Roussanne and Grenache Blanc, it displays a complex balance of fresh fruits, herbs, cashews, smoked meats and vanilla, while remaining lively in acidity and fundamentally dry. Easily the best white wine yet from Minassian-Young.",US,California,16,91
77560,77560,Neumeister 2011 Steintal Roter Traminer (Südoststeiermark),Neumeister 2011 Steintal Roter Traminer (Südoststeiermark),Neumeister,Roter Traminer,Red,"Heavily perfumed Traminer that comes with the faintest pink tinge. The wine has a rich, fragrant character that is shot through with fresher acidity. Try this wine with spicy foods or as a vivid aperitif.",Austria,Südoststeiermark,36,91
77698,77698,Pala 2014 I Fiori  (Nuragus di Cagliari),Pala 2014 I Fiori  (Nuragus di Cagliari),Pala,Nuragus,White,"Scents of Spanish broom, stone fruit and a whiff of wild herb lead the way on this vibrant, medium-bodied white. The bright palate offers green apple, lemon zest and white almond alongside tangy acidity.",Italy,Sicily & Sardinia,16,88
77903,77903,Goose Watch 2011 Gewürztraminer-Riesling (Finger Lakes),Goose Watch 2011 Gewürztraminer-Riesling (Finger Lakes),Goose Watch,Gewürztraminer-Riesling,White,"Notes of sweet pea blossoms, freesia and ripe stone fruits perfume this beautifully executed blend of Riesling and Gewürztraminer. Light on it's feet, with zippy acidity, it's a crisp, thirst-quenching white that finishes on a lavishly floral note.",US,New York,15,88
77993,77993,Spiriterra 2013 Scuppernong Estate Muscadine (Napa Valley),Spiriterra 2013 Scuppernong Estate Muscadine (Napa Valley),Spiriterra,Muscadine,Red,"Golden in color and slightly chunky on the palate, this is for fans of the variety only. A foxy, resin-like taste of tartness attempts to soften the with residual sugar.",US,California,20,85
77995,77995,Koblevo NV Kagor Reserve Bastardo (Ukraine),Koblevo NV Kagor Reserve Bastardo (Ukraine),Koblevo,Bastardo,Red,This nonvintage red dessert wine is made from Bastardo grapes. It is garnet in color with aromas of sweet cherry syrup and raspberry preserves. It has flavors of soda fountain cola spiked with cherry juice and cassis. It is delightfully sweet with a touch of acidity in the finish.,Ukraine,Ukraine,9,85
78007,78007,Cantina Santadi 2008 Grotta Rossa  (Carignano del Sulcis),Cantina Santadi 2008 Grotta Rossa  (Carignano del Sulcis),Cantina Santadi,Carignano,Red,"This is an easy-drinking wine that opens with tight aromas of wild berry, dried rosemary and green herb. The finish has both sweet and sour elements.",Italy,Sicily & Sardinia,36,86
78042,78042,Jacob's Creek 2000 Semillon-Chardonnay (Barossa Valley),Jacob's Creek 2000 Semillon-Chardonnay (Barossa Valley),Jacob's Creek,Semillon-Chardonnay,White,"The tangy grapefruit, lemon and pear notes on the nose carry over nicely to the palate. Subtle underlying tropical fruit adds dimension, the mouthfeel has a creamy texture (from the Sémillon), and it finishes dry and clean.",Australia,South Australia,8,85
78109,78109,Villa Melnik 2012 Bergulé Mavrud (Bulgaria),Villa Melnik 2012 Bergulé Mavrud (Bulgaria),Villa Melnik,Mavrud,Red,"This Bulgarian Mavrud presents the nose with suggestions of dried cherry, black plum, freshly ground black pepper and a whiff of eucalyptus. In the mouth it is balanced with soft tannins mingling with dried cherry, cassis and black plum.",Bulgaria,Bulgaria,15,90
78140,78140,Consorzio Vini Tipici di San Marino 2007 Biancale di San Marino Biancale (San Marino),Consorzio Vini Tipici di San Marino 2007 Biancale di San Marino Biancale (San Marino),Consorzio Vini Tipici di San Marino,Biancale,White,"Here is a fresh and vibrant Biancale-based wine (with a small percentage of Chardonnay for structure and smoothness) that offers aromas of citrus, peach and green fruit. Try it with appetizers or finger foods.",Italy,Central Italy,18,85
78204,78204,René Barbier NV Mediterranean Red Tempranillo-Merlot (Catalunya),René Barbier NV Mediterranean Red Tempranillo-Merlot (Catalunya),René Barbier,Tempranillo-Merlot,Red,"Despite an opening that features some vinegary sharpness and mulch, there's also decent berry fruit notes and milk chocolate sweetness to the nose. Feels about as you'd expect, which means it's zesty and lean, with cherry, plum and herbal flavors. Juicy and minty on the finish.",Spain,Catalonia,6,84
78266,78266,Bibi Graetz 2010 Testamatta Gigliese Ansonica (Toscana),Bibi Graetz 2010 Testamatta Gigliese Ansonica (Toscana),Bibi Graetz,Ansonica,White,"Here's a thick, more intense expression of Ansonica that delivers aromas of pine nut, resin, stone fruit and candied apricot. The creamy mouthfeel would stand up to shellfish or white meat.",Italy,Tuscany,30,86
78273,78273,My Big Fat Greek Wine 2010 Savatiano (Sterea Ellada),My Big Fat Greek Wine 2010 Savatiano (Sterea Ellada),My Big Fat Greek Wine,Savatiano,White,"This Greek variety is used for retsina, or, as in this case, made into a single-variety wine. On the nose, peach, nuts and apple are followed by flavors of white peach and white fruits. Savatiano has less acidity and minerality than other Greek whites, so fans of a subtler style will enjoy this drinkable offering.",Greece,Sterea Ellada,10,86
78348,78348,Vodopivec 2006 Vitovska (Venezia Giulia),Vodopivec 2006 Vitovska (Venezia Giulia),Vodopivec,Vitovska,Red,"Made with the Vitovska grape, this fascinating “orange” wine opens with a beautiful amber-copper color and offers thick aromas of pine nut, resin, candied fruit, Vin Santo and dusty mineral or crushed stone at the back. Thick streaks of glycerin run down the side of the glass and there's a touch of tannic firmness in the mouth.",Italy,Northeastern Italy,85,90
78462,78462,Kindzmarauli Marani 2014 Mtsvane (Kakheti),Kindzmarauli Marani 2014 Mtsvane (Kakheti),Kindzmarauli Marani,Mtsvane,White,"Light-straw in the glass, this wine has aromas of grapefruit and lemon curd. It is soft in the mouth, with a sophisticated feel and refreshing acidity. Flavors of lemon, grapefruit and marzipan persist into a slightly cooling finish with a bright ending.",Georgia,Kakheti,13,88
78588,78588,Quinta das Carvalhas 2012 Carvalhas Tinta Francisca (Douro),Quinta das Carvalhas 2012 Carvalhas Tinta Francisca (Douro),Quinta das Carvalhas,Tinta Francisca,Red,"Tinta Francisca is one of the older varieties of the Douro, generally passed over in new vineyards. Perfumed, ripe and with an almost intense acidity, there is a dry core of tannins that are balanced by ripe red berry fruits, showing concentration from old vines. The wine is still young, finishing with considerable acidity. Drink from 2017.",Portugal,Douro,30,91
78719,78719,Angove's 2007 Nine Vines Rosé Grenache-Shiraz (South Australia),Angove's 2007 Nine Vines Rosé Grenache-Shiraz (South Australia),Angove's,Grenache-Shiraz,Red,"Ripe and Grenache-heavy, to judge by the black cherry and chocolate aromas and flavors. It's medium-bodied, with a tart finish that provides a refreshing counterpoint to the ripe fruit. Imported by Trinchero Vineyards.",Australia,South Australia,12,85
78734,78734,Ironstone 2007 Obsession Symphony (California),Ironstone 2007 Obsession Symphony (California),Ironstone,Symphony,White,"Ironstone's track record for this pretty dessert wine continues with the '07. It's off-dry, with residual sugar just under 2%, and polished flavors of pineapples, oranges, marzipan, honey and vanilla. High acidity adds the perfect touch of crispness.",US,California,8,85
79057,79057,Höpler 2007 Trockenbeerenauslese Sämling (Burgenland),Höpler 2007 Trockenbeerenauslese Sämling (Burgenland),Höpler,Sämling,White,"A deliciously delicate TBA, it has all the right sweetness, but balances that with acidity, ripe pineapple and dried peach. Extra complexity comes from some honey and lemon freshness.",Austria,Burgenland,46,89
79175,79175,Dubost 2016 White Heart Grenache Noir (Adelaida District),Dubost 2016 White Heart Grenache Noir (Adelaida District),Dubost,Grenache Noir,Red,"This is a white wine made from red Grenache and it's simultaneously intriguing and delicious, with sliced nectarine, kaffir lime, melon and bubblegum on the nose. Creamy flavors of poached pear made for a very rounded if texturally simple palate, which finishes with a hint of caramel.",US,California,40,90
79243,79243,Montepio 2010 SyBo Syrah-Bonarda (Mendoza),Montepio 2010 SyBo Syrah-Bonarda (Mendoza),Montepio,Syrah-Bonarda,Red,"Full berry aromas with spice on the side form a good opening. It's a full, tight wine on the palate with oaky, meaty, almost foresty flavors of blackberry, spice and mint. Racy, drying, tasty and good given that one finds few Syrah-Bonarda blends to pick from.",Argentina,Mendoza Province,13,87
79394,79394,Campbells 1993 The Barkly Durif (Rutherglen),Campbells 1993 The Barkly Durif (Rutherglen),Campbells,Durif,Red,"This wine has an uncertain future, hence the less-than-enthusiastic rating. On first opening, it's mute on the nose and simply earthy and dull on the palate, with a dry, dusty finish. Later on, it opened up some and showed some nice aged fruit as well, then shut down again. —J.C.",Australia,Victoria,30,84
79450,79450,Stellenbosch Hills 2010 Polkadraai Chenin Blanc-Sauvignon Blanc (Polkadraai Hills),Stellenbosch Hills 2010 Polkadraai Chenin Blanc-Sauvignon Blanc (Polkadraai Hills),Stellenbosch Hills,Chenin Blanc-Sauvignon Blanc,White,"Fresh grass, vibrant citrus and tart gooseberry fill the nose and mouth, making this an approachable and clean white perfect for pairing with lighter chicken and fish dishes. 70% Chenin Blanc and 30% Sauvignon Blanc; drink now.",South Africa,Polkadraai Hills,10,85
